Site,Time Point,Live Hard Coral,Dead Coral,"Soft Coral, Fire Coral",Zoanthid,Other Invertebrates,Sponge,CCA,Other Algae,"Substrate (Rubble, sand)"
Popa,T0,14,2,1,0,0,5,0,78,0
Punta Juan,T0,34,21,2,1,3,10,2,3,24
Punta Juan,T0,39,18,8,0,0,12,3,3,17
Punta Juan,T0,46,7,1,0,2,20,0,2,22
Punta Juan,T0,22,9,7,0,10,19,3,16,13
Punta Juan,T0,44,14,0,11,2,8,1,9,11
Punta Juan,T0,29,10,0,0,8,8,2,9,34
Punta Juan,T0,4,5,18,0,0,9,0,6,57
Punta Juan,T0,23,3,33,0,0,8,0,1,32
Punta Juan,T0,19,1,39,0,5,21,0,9,6
Punta Juan,T0,11,3,44,0,2,28,1,6,4
Punta Juan,T0,61,9,8,0,1,15,0,5,1
Salt Creek,T0,35,0,3,0,0,2,3,36,17
Salt Creek,T0,24,3,11,0,1,3,2,56,0
Salt Creek,T0,24,0,0,0,0,0,0,76,0
Salt Creek,T0,28,2,1,0,0,1,0,54,13
Salt Creek,T0,7,0,20,0,0,8,0,56,7
Salt Creek,T0,12,0,0,0,0,6,0,77,4
Salt Creek,T0,31,1,14,0,0,6,0,46,0
Salt Creek,T0,18,2,5,0,1,2,1,49,21
Salt Creek,T0,57,4,7,0,0,5,2,20,3
Salt Creek,T0,0,0,0,0,1,3,0,78,18
Salt Creek,T0,28,2,6,0,1,6,2,53,0
STRI,T0,1,0,0,0,0,25,0,18,56
STRI,T0,3,6,0,0,1,17,0,21,52
STRI,T0,3,58,0,0,2,25,5,6,0
STRI,T0,3,3,0,0,2,31,1,6,54
STRI,T0,8,35,0,0,0,51,1,1,3
STRI,T0,8,36,0,0,1,12,3,21,19
STRI,T0,2,44,0,0,1,32,2,5,13
STRI,T0,0,73,0,0,1,16,1,3,4
STRI,T0,0,47,0,0,2,41,4,1,3
STRI,T0,1,49,0,0,1,25,2,2,18
Cayo Roldan,T1,54,0,0,12,0,14,0,0,20
Cayo Roldan,T1,10,4,12,32,2,4,0,0,34
Cayo Roldan,T1,32,0,0,16,4,0,0,0,48
Cayo Roldan,T1,28,4,8,8,6,4,0,0,38
Cayo Roldan,T1,24,4,0,24,4,18,0,0,26
Cayo Roldan,T1,36,0,0,14,6,10,0,2,32
Cayo Roldan,T1,46,2,2,8,0,8,0,0,30
Cayo Roldan,T1,20,4,4,28,8,12,0,0,24
Cayo Roldan,T1,6,0,0,28,2,12,0,0,50
Cayo Roldan,T1,26,2,2,16,4,6,0,0,44
Cayo Roldan,T1,22,0,6,8,0,12,0,0,46
Hospital Point,T1,42,12,10,0,0,4,6,22,2
Hospital Point,T1,62,8,14,0,0,0,2,12,0
Hospital Point,T1,82,6,0,0,0,0,6,2,0
Hospital Point,T1,42,8,4,0,0,0,2,36,8
Hospital Point,T1,46,20,0,0,0,0,0,24,8
Hospital Point,T1,44,16,0,0,0,0,4,24,10
Hospital Point,T1,48,2,4,0,0,0,2,34,10
Hospital Point,T1,14,16,0,0,2,2,10,42,12
Hospital Point,T1,2,22,0,0,4,0,6,54,12
Hospital Point,T1,4,14,10,0,0,12,2,30,24
Hospital Point,T1,42,8,0,0,4,28,2,2,14
Mainland,T1,26,2,0,22,4,14,0,0,28
Mainland,T1,68,2,0,14,0,2,0,0,10
Mainland,T1,8,4,0,36,8,20,0,2,16
Mainland,T1,46,8,0,0,2,20,0,2,12
Mainland,T1,12,12,0,38,6,12,0,0,12
Mainland,T1,30,18,0,24,2,8,0,2,14
Mainland,T1,0,18,0,28,8,4,2,2,32
Mainland,T1,0,36,0,20,6,2,0,4,30
Mainland,T1,2,18,0,12,10,22,0,2,26
Mainland,T1,16,22,0,28,8,2,0,0,20
Mainland,T1,64,6,0,10,2,0,0,0,8
Almirante,T3,0,21,0,1,11,8,0,12,47
Almirante,T3,14,11,0,0,6,13,1,0,54
Almirante,T3,1,11,0,13,5,21,0,18,30
Almirante,T3,5,12,0,7,5,4,0,3,63
Almirante,T3,4,17,0,0,3,5,0,11,59
Almirante,T3,2,38,0,0,2,9,0,0,49
Almirante,T3,1,6,0,0,6,7,0,21,59
Almirante,T3,2,4,0,0,7,4,0,23,60
Almirante,T3,4,18,0,0,3,4,1,16,54
Almirante,T3,2,5,0,0,6,39,0,13,34
Almirante,T3,0,8,0,0,4,17,0,21,50
Almirante,T3,8,15,0,0,3,15,0,9,50
Almirante,T3,1,23,0,0,7,12,0,16,41
Almirante,T3,1,27,0,0,6,9,1,14,42
Almirante,T3,14,16,0,0,5,18,1,9,36
Almirante,T3,6,20,0,0,5,14,1,18,35
Almirante,T3,1,12,0,0,3,10,1,23,49
Almirante,T3,0,13,0,0,8,21,0,20,38
Almirante,T3,10,17,0,0,7,17,0,27,22
Almirante,T3,10,14,0,0,6,26,0,18,25
Caracol,T3,4,1,0,0,0,3,4,13,74
Caracol,T3,1,0,0,2,2,5,0,31,59
Caracol,T3,28,1,0,0,2,2,1,9,57
Caracol,T3,23,1,0,0,0,12,3,20,40
Caracol,T3,7,0,0,0,0,4,4,24,61
Caracol,T3,7,0,0,0,0,1,3,37,51
Caracol,T3,0,0,0,0,0,0,0,0,100
Caracol,T3,1,0,0,0,1,3,1,8,86
Caracol,T3,12,0,0,0,0,25,0,10,53
Caracol,T3,24,8,0,0,0,11,0,9,48
Cayo Roldan,T3,37,2,1,20,5,13,0,9,13
Cayo Roldan,T3,14,2,11,39,3,8,0,9,13
Cayo Roldan,T3,27,2,0,17,4,7,1,7,35
Cayo Roldan,T3,16,17,14,3,6,8,5,3,28
Cayo Roldan,T3,31,2,1,27,1,12,1,6,19
Cayo Roldan,T3,41,2,0,18,1,3,0,6,28
Cayo Roldan,T3,47,5,2,4,4,2,3,12,21
Cayo Roldan,T3,26,6,2,11,2,10,2,8,33
Cayo Roldan,T3,0,4,0,8,0,7,0,24,57
Cayo Roldan,T3,7,27,1,8,5,6,1,21,24
Cayo Roldan,T3,16,13,11,9,4,6,0,8,33
Coral Cay,T3,0,3,5,0,0,1,27,64,0
Coral Cay,T3,2,2,1,0,1,3,22,68,1
Coral Cay,T3,2,2,2,0,0,1,5,88,0
Coral Cay,T3,1,0,6,1,0,8,14,68,1
Coral Cay,T3,12,1,1,7,0,6,26,47,0
Coral Cay,T3,55,4,18,0,1,1,16,5,0
Coral Cay,T3,2,1,2,0,0,0,10,85,0
Coral Cay,T3,8,0,3,1,0,2,8,78,0
Coral Cay,T3,19,2,22,13,0,2,18,22,1
Coral Cay,T3,16,2,1,13,0,0,38,30,0
Coral Cay,T3,0,0,1,0,5,0,83,10,0
Hospital Point,T3,33,14,5,0,0,4,13,31,0
Hospital Point,T3,25,34,8,0,0,2,10,20,0
Hospital Point,T3,78,2,0,0,0,0,11,9,0
Hospital Point,T3,23,12,6,0,0,3,32,23,1
Hospital Point,T3,32,13,1,0,2,0,15,37,0
Hospital Point,T3,46,7,0,2,0,0,15,29,0
Hospital Point,T3,37,21,4,0,0,0,13,23,0
Hospital Point,T3,14,34,3,0,0,5,13,31,0
Hospital Point,T3,10,15,0,0,2,2,31,37,0
Hospital Point,T3,10,16,8,7,1,4,20,24,10
Hospital Point,T3,46,0,0,0,1,27,19,5,2
Mainland,T3,8,25,0,0,1,4,0,60,1
Mainland,T3,24,51,0,3,0,1,9,11,0
Mainland,T3,11,11,0,21,0,24,12,19,0
Mainland,T3,35,8,0,2,4,35,9,7,0
Mainland,T3,12,4,0,47,3,19,7,7,0
Mainland,T3,30,4,0,20,1,26,9,7,1
Mainland,T3,0,11,0,28,5,20,15,21,0
Mainland,T3,3,5,0,23,6,9,13,39,0
Mainland,T3,0,1,0,19,1,27,11,41,0
Mainland,T3,19,31,0,20,0,18,4,7,0
Mainland,T3,51,11,0,2,4,18,10,2,0
Pastores,T3,0,2,0,17,8,47,2,4,20
Pastores,T3,0,4,0,10,3,42,0,5,36
Pastores,T3,4,2,0,24,2,39,0,0,28
Pastores,T3,1,1,0,21,7,53,0,0,16
Pastores,T3,1,7,0,33,4,29,0,0,25
Pastores,T3,0,2,1,15,1,35,0,1,45
Pastores,T3,0,1,0,19,4,42,0,0,33
Pastores,T3,0,1,0,5,5,42,1,3,43
Pastores,T3,0,13,0,4,1,33,0,3,46
Pastores,T3,2,9,0,24,3,22,1,0,38
Pastores,T3,0,3,0,6,6,30,0,1,54
Popa,T3,4,0,12,0,1,1,30,51,1
Popa,T3,20,0,0,0,2,0,18,60,0
Popa,T3,18,2,0,0,0,1,9,68,2
Popa,T3,20,0,12,0,4,0,24,40,0
Popa,T3,10,0,0,0,1,4,18,66,1
Popa,T3,4,0,2,0,0,0,19,74,1
Popa,T3,5,0,0,0,0,2,4,89,0
Popa,T3,3,0,2,0,0,1,21,71,1
Popa,T3,5,0,0,0,0,1,36,58,0
Popa,T3,0,0,0,0,0,2,42,55,1
Popa,T3,4,0,0,0,0,0,18,78,0
Punta Juan,T3,13,15,1,3,3,7,11,15,32
Punta Juan,T3,3,24,7,0,2,5,15,23,21
Punta Juan,T3,21,37,1,0,2,18,1,9,11
Punta Juan,T3,6,28,13,0,5,18,2,6,22
Punta Juan,T3,34,14,0,15,0,11,0,21,5
Punta Juan,T3,3,47,1,0,5,5,1,7,30
Punta Juan,T3,0,7,14,0,0,9,0,6,63
Punta Juan,T3,5,18,36,0,3,3,0,1,34
Punta Juan,T3,3,14,47,0,12,8,0,4,12
Punta Juan,T3,7,7,51,0,4,20,0,5,6
Punta Juan,T3,50,14,12,0,2,13,1,7,1
Salt Creek,T3,29,0,6,0,0,2,10,49,3
Salt Creek,T3,18,2,10,4,0,1,19,46,0
Salt Creek,T3,29,1,0,0,0,0,5,65,0
Salt Creek,T3,21,2,6,0,0,3,12,50,6
Salt Creek,T3,10,2,21,0,0,3,12,52,0
Salt Creek,T3,9,0,0,0,0,1,28,60,2
Salt Creek,T3,28,2,19,0,0,4,17,30,0
Salt Creek,T3,8,1,0,0,0,0,17,71,3
Salt Creek,T3,40,1,5,0,1,1,8,44,0
Salt Creek,T3,0,0,0,0,2,0,7,52,39
Salt Creek,T3,9,33,6,0,3,1,17,30,0
STRI,T3,2,3,0,0,1,8,0,0,86
STRI,T3,7,6,0,0,3,8,4,1,70
STRI,T3,0,23,0,0,3,24,45,4,0
STRI,T3,4,3,0,0,1,24,1,1,66
STRI,T3,9,10,0,0,1,62,13,1,4
STRI,T3,4,27,0,0,0,20,5,4,40
STRI,T3,1,40,0,0,5,14,1,2,34
STRI,T3,0,67,0,0,0,11,10,9,1
STRI,T3,1,43,0,0,6,27,10,6,6
STRI,T3,0,20,0,0,2,37,3,1,35
Almirante,T5,14,9,0,0,5,4,0,14,53
Almirante,T5,31,8,0,3,1,14,0,2,41
Almirante,T5,10,5,0,11,3,7,1,4,59
Almirante,T5,10,9,0,11,3,12,0,1,53
Almirante,T5,15,5,0,0,1,6,0,9,64
Almirante,T5,36,4,0,0,1,10,0,3,46
Almirante,T5,10,4,0,0,2,7,0,24,52
Almirante,T5,13,0,0,0,2,10,0,21,54
Almirante,T5,12,6,0,0,0,6,0,32,43
Almirante,T5,7,3,0,1,2,49,4,2,32
Almirante,T5,0,0,0,0,0,25,1,23,51
Almirante,T5,16,2,0,0,3,15,0,17,47
Almirante,T5,15,1,0,0,1,10,1,27,44
Almirante,T5,10,0,0,0,2,10,1,29,48
Almirante,T5,16,1,0,0,4,18,0,9,51
Almirante,T5,28,4,0,0,0,15,0,22,30
Almirante,T5,14,2,0,1,1,11,0,22,47
Almirante,T5,22,5,0,0,3,15,0,17,38
Almirante,T5,13,7,1,0,0,19,1,26,31
Almirante,T5,6,1,0,0,2,37,0,40,13
Caracol,T5,4,2,0,0,0,6,0,24,64
Caracol,T5,4,0,0,0,0,2,0,19,75
Caracol,T5,2,0,0,0,0,9,0,26,62
Caracol,T5,34,5,0,0,0,0,0,14,47
Caracol,T5,16,3,0,0,0,8,0,28,45
Caracol,T5,3,4,0,0,0,8,0,20,65
Caracol,T5,6,0,0,0,0,2,0,27,64
Caracol,T5,0,0,0,0,0,0,0,0,100
Caracol,T5,0,0,0,0,0,0,0,12,88
Caracol,T5,5,6,0,0,0,23,0,5,60
Caracol,T5,21,8,0,0,0,4,0,4,63
Cayo Roldan,T5,38,2,0,17,3,10,0,1,29
Cayo Roldan,T5,9,1,14,28,2,7,0,3,36
Cayo Roldan,T5,19,1,0,18,3,11,0,6,42
Cayo Roldan,T5,16,4,11,8,5,7,0,5,44
Cayo Roldan,T5,32,2,0,18,1,15,0,0,31
Cayo Roldan,T5,27,3,0,11,3,10,0,0,46
Cayo Roldan,T5,41,2,0,7,1,5,0,2,41
Cayo Roldan,T5,24,0,3,22,10,20,0,5,16
Cayo Roldan,T5,1,0,0,13,3,20,0,6,57
Cayo Roldan,T5,9,0,0,4,5,11,0,6,65
Cayo Roldan,T5,21,0,8,12,1,15,0,10,33
Coral Cay,T5,1,0,4,0,0,0,0,95,0
Coral Cay,T5,6,0,2,0,1,0,0,91,0
Coral Cay,T5,6,0,5,0,0,0,2,87,0
Coral Cay,T5,1,0,4,1,2,4,3,85,0
Coral Cay,T5,12,0,1,1,2,19,4,61,0
Coral Cay,T5,49,5,18,0,0,1,4,23,0
Coral Cay,T5,0,0,0,0,0,0,9,91,0
Coral Cay,T5,5,0,4,0,0,2,5,84,0
Coral Cay,T5,16,0,10,8,1,3,3,59,0
Coral Cay,T5,1,1,2,1,4,0,45,45,0
Coral Cay,T5,2,0,0,0,5,6,18,69,0
Hospital Point,T5,21,14,10,0,0,4,0,51,0
Hospital Point,T5,32,2,12,0,1,4,0,48,0
Hospital Point,T5,81,0,3,0,0,0,0,16,0
Hospital Point,T5,21,0,5,0,0,0,0,74,0
Hospital Point,T5,38,3,1,0,0,2,0,56,0
Hospital Point,T5,38,10,0,0,0,4,4,44,0
Hospital Point,T5,29,13,3,0,0,4,4,44,3
Hospital Point,T5,18,0,2,0,1,1,7,69,1
Hospital Point,T5,7,0,0,0,1,4,2,82,2
Hospital Point,T5,9,2,9,0,1,19,4,37,18
Hospital Point,T5,51,1,0,0,1,20,0,17,8
Mainland,T5,1,75,0,3,14,4,0,2,1
Mainland,T5,18,49,1,6,7,11,0,1,5
Mainland,T5,4,37,0,16,4,31,0,6,0
Mainland,T5,33,31,0,4,1,27,0,2,2
Mainland,T5,17,42,0,15,6,18,0,0,1
Mainland,T5,25,39,1,21,6,8,0,0,0
Mainland,T5,1,65,0,13,9,10,0,1,1
Mainland,T5,2,83,0,1,6,7,0,1,0
Mainland,T5,0,69,0,1,10,20,0,0,0
Mainland,T5,8,67,0,12,5,6,1,1,0
Mainland,T5,57,19,0,4,1,18,0,1,0
Pastores,T5,0,0,0,24,8,30,0,3,34
Pastores,T5,0,1,0,5,5,38,0,3,47
Pastores,T5,1,0,0,23,7,35,0,0,34
Pastores,T5,2,0,0,21,5,31,0,5,36
Pastores,T5,2,2,0,20,9,28,0,1,38
Pastores,T5,0,0,0,14,10,28,0,3,45
Pastores,T5,1,0,0,22,3,34,0,2,38
Pastores,T5,0,1,0,10,5,33,0,0,51
Pastores,T5,1,4,0,8,2,21,0,4,60
Pastores,T5,2,15,0,22,6,18,0,0,37
Pastores,T5,0,2,0,12,7,28,0,0,48
Popa,T5,19,0,14,1,3,18,26,19,0
Popa,T5,14,0,4,0,8,0,5,69,0
Popa,T5,7,0,0,0,0,0,0,93,0
Popa,T5,7,0,11,0,0,0,16,66,0
Popa,T5,12,0,0,1,3,2,4,78,0
Popa,T5,1,0,0,0,0,1,0,98,0
Popa,T5,2,0,0,0,0,0,0,98,0
Popa,T5,3,0,1,0,0,1,0,94,1
Popa,T5,3,0,0,0,0,1,1,95,0
Popa,T5,2,0,0,0,0,0,0,98,0
Popa,T5,7,0,0,0,0,0,1,92,0
Punta Juan,T5,20,29,2,1,5,5,3,5,30
Punta Juan,T5,6,42,9,0,0,9,1,3,29
Punta Juan,T5,39,21,3,1,2,12,0,4,18
Punta Juan,T5,16,11,8,0,3,8,0,32,22
Punta Juan,T5,26,39,0,9,4,5,0,2,15
Punta Juan,T5,30,9,0,0,9,6,0,17,29
Punta Juan,T5,7,0,38,1,1,13,0,3,37
Punta Juan,T5,6,10,47,0,2,4,0,10,21
Punta Juan,T5,10,7,55,0,5,5,0,5,12
Punta Juan,T5,9,7,56,0,0,6,1,15,6
Punta Juan,T5,30,38,17,0,3,5,1,4,1
Salt Creek,T5,33,0,2,0,0,3,1,60,1
Salt Creek,T5,14,0,12,0,3,4,1,62,4
Salt Creek,T5,19,5,0,0,0,0,0,76,0
Salt Creek,T5,11,1,20,0,1,1,1,50,11
Salt Creek,T5,41,0,12,0,1,0,0,45,1
Salt Creek,T5,5,5,3,0,1,0,1,55,30
Salt Creek,T5,37,0,4,0,1,3,1,52,0
Salt Creek,T5,21,0,7,0,0,1,5,66,0
STRI,T5,3,0,0,0,2,8,1,10,76
STRI,T5,13,3,2,0,0,14,0,2,66
STRI,T5,0,58,0,0,2,33,6,0,0
STRI,T5,7,0,0,0,2,30,1,1,58
STRI,T5,7,33,0,0,0,44,0,5,10
STRI,T5,6,17,0,0,1,26,0,10,40
STRI,T5,1,37,0,0,0,27,0,1,32
STRI,T5,0,76,0,0,0,12,1,1,9
STRI,T5,1,43,0,0,4,31,0,3,15
STRI,T5,6,18,0,0,0,33,0,5,38
Almirante,T6,26,12,0,0,6,2,0,0,54
Almirante,T6,30,6,2,0,2,6,0,2,52
Almirante,T6,18,4,4,12,4,12,0,0,46
Almirante,T6,24,2,0,6,6,6,0,6,46
Almirante,T6,16,10,0,0,6,8,0,2,56
Almirante,T6,42,4,2,0,2,6,0,0,42
Almirante,T6,22,4,2,0,2,8,0,0,60
Almirante,T6,20,6,0,0,2,2,2,12,56
Almirante,T6,30,8,0,0,0,6,0,2,54
Almirante,T6,6,6,2,0,8,36,0,6,32
Almirante,T6,2,4,0,4,10,18,0,0,62
Almirante,T6,24,0,4,0,6,20,0,10,36
Almirante,T6,32,2,2,0,4,2,0,8,48
Almirante,T6,26,2,4,0,10,0,2,0,54
Almirante,T6,44,6,0,0,4,4,2,4,36
Almirante,T6,44,2,2,0,12,12,0,0,28
Almirante,T6,24,4,0,0,2,10,6,8,44
Almirante,T6,42,6,0,0,8,20,0,0,24
Almirante,T6,30,6,2,0,4,30,0,6,22
Almirante,T6,12,12,0,0,0,50,0,4,20
Caracol,T6,4,6,0,0,0,2,0,24,64
Caracol,T6,4,14,0,0,0,2,0,8,72
Caracol,T6,2,0,0,0,0,12,0,2,84
Caracol,T6,30,6,0,0,0,0,0,2,62
Caracol,T6,20,8,0,0,0,4,0,20,48
Caracol,T6,4,4,0,0,0,4,0,18,70
Caracol,T6,6,2,0,0,0,0,0,12,78
Caracol,T6,0,0,0,0,0,0,0,0,100
Caracol,T6,4,4,0,0,0,0,0,0,92
Caracol,T6,16,0,0,0,0,22,0,0,58
Caracol,T6,32,2,0,0,0,2,0,0,64
Cayo Roldan,T6,34,0,0,34,6,10,0,0,12
Cayo Roldan,T6,16,10,18,40,0,0,0,0,16
Cayo Roldan,T6,18,20,0,10,10,16,0,0,26
Cayo Roldan,T6,8,34,10,4,4,16,2,2,18
Cayo Roldan,T6,22,6,0,30,0,18,0,0,22
Cayo Roldan,T6,26,10,0,12,10,8,0,0,32
Cayo Roldan,T6,42,8,2,18,2,10,0,0,16
Cayo Roldan,T6,22,0,0,28,8,24,0,2,16
Cayo Roldan,T6,4,4,0,14,2,22,0,0,54
Cayo Roldan,T6,10,4,2,10,8,0,0,0,66
Cayo Roldan,T6,14,4,10,2,4,10,0,0,54
Coral Cay,T6,4,0,0,0,0,0,6,90,0
Coral Cay,T6,2,2,6,0,2,2,0,86,0
Coral Cay,T6,2,0,2,0,0,0,0,96,0
Coral Cay,T6,0,0,2,0,0,2,0,96,0
Coral Cay,T6,6,6,2,2,4,6,8,66,0
Coral Cay,T6,52,2,16,0,4,0,16,8,2
Coral Cay,T6,0,0,2,0,0,0,8,86,4
Coral Cay,T6,6,0,4,0,0,0,2,86,2
Coral Cay,T6,20,12,10,6,0,0,0,50,2
Coral Cay,T6,0,16,4,0,0,0,6,72,2
Coral Cay,T6,2,56,2,0,10,0,12,14,2
Hospital Point,T6,28,8,12,0,0,6,4,34,8
Hospital Point,T6,44,14,14,0,2,0,2,22,2
Hospital Point,T6,80,2,0,0,0,0,2,14,2
Hospital Point,T6,10,0,6,0,2,0,2,80,0
Hospital Point,T6,30,6,0,0,2,0,0,56,4
Hospital Point,T6,50,0,0,0,0,0,8,40,2
Hospital Point,T6,22,0,6,0,0,0,10,56,6
Hospital Point,T6,4,4,2,0,0,4,8,64,12
Hospital Point,T6,6,2,2,0,0,8,8,72,2
Hospital Point,T6,14,0,12,0,2,12,8,46,6
Hospital Point,T6,50,0,2,0,4,22,2,12,8
Mainland,T6,2,20,0,4,12,4,4,4,48
Mainland,T6,6,30,0,6,14,6,0,2,36
Mainland,T6,2,12,0,12,12,18,2,4,38
Mainland,T6,6,52,0,0,8,20,0,2,12
Mainland,T6,22,56,0,0,6,14,0,0,2
Mainland,T6,18,26,0,16,8,8,0,4,18
Mainland,T6,0,44,0,2,4,2,0,30,18
Mainland,T6,0,64,0,0,6,4,0,12,14
Mainland,T6,0,42,0,0,12,20,0,10,14
Mainland,T6,0,44,0,2,2,2,0,18,30
Mainland,T6,50,10,0,0,10,14,0,4,12
Pastores,T6,0,8,0,14,2,36,0,0,40
Pastores,T6,0,24,0,4,0,38,0,0,34
Pastores,T6,4,2,0,24,4,32,0,2,32
Pastores,T6,0,0,0,24,14,10,0,4,48
Pastores,T6,0,0,0,14,8,16,0,2,60
Pastores,T6,0,0,0,12,8,32,0,0,48
Pastores,T6,0,0,0,20,12,24,0,0,44
Pastores,T6,0,0,0,4,10,22,0,0,62
Pastores,T6,0,0,0,2,4,20,0,0,74
Pastores,T6,4,6,0,16,10,22,2,4,36
Pastores,T6,0,0,0,4,8,22,0,0,64
Popa,T6,10,2,18,0,12,0,8,50,0
Popa,T6,8,0,0,0,0,0,4,88,0
Popa,T6,10,0,0,0,0,0,10,78,0
Popa,T6,12,0,8,0,0,0,4,74,2
Popa,T6,10,0,0,0,2,0,4,80,4
Popa,T6,4,6,2,0,0,0,0,88,0
Popa,T6,4,8,0,0,0,0,0,88,0
Popa,T6,10,14,4,0,0,0,0,70,2
Popa,T6,4,8,4,0,0,2,2,80,0
Popa,T6,0,14,0,0,0,0,0,86,0
Popa,T6,8,26,0,0,0,0,0,64,0
Popa,T6,8,0,0,0,0,0,10,74,8
Punta Juan,T6,24,34,2,0,2,16,0,4,14
Punta Juan,T6,6,52,4,0,8,18,0,0,8
Punta Juan,T6,66,10,2,2,0,8,0,2,10
Punta Juan,T6,28,26,10,0,10,8,0,2,16
Punta Juan,T6,32,40,0,8,4,6,0,0,10
Punta Juan,T6,42,14,0,0,2,8,0,0,34
Punta Juan,T6,8,0,44,2,2,8,0,0,34
Punta Juan,T6,4,0,54,0,2,18,0,2,20
Punta Juan,T6,10,0,48,0,18,4,2,0,18
Punta Juan,T6,12,8,58,0,0,10,0,4,8
Punta Juan,T6,52,22,14,0,0,12,0,0,0
Salt Creek,T6,40,8,0,0,0,0,0,46,6
Salt Creek,T6,20,28,16,0,0,0,0,32,2
Salt Creek,T6,18,0,0,0,0,0,0,82,0
Salt Creek,T6,30,38,4,0,0,2,4,14,6
Salt Creek,T6,10,10,6,0,0,0,0,74,0
Salt Creek,T6,34,22,14,0,0,0,0,28,0
Salt Creek,T6,16,24,0,0,0,0,0,14,46
Salt Creek,T6,56,16,2,0,0,0,0,24,0
Salt Creek,T6,24,20,2,0,2,2,0,40,10
Salt Creek,T6,24,20,8,0,2,0,6,32,8
STRI,T6,0,2,0,0,0,10,0,0,88
STRI,T6,10,6,0,0,0,12,0,0,70
STRI,T6,0,70,0,0,0,18,10,0,0
STRI,T6,22,0,0,0,0,32,0,0,44
STRI,T6,10,26,0,0,0,50,0,0,10
STRI,T6,2,16,0,0,2,26,0,0,54
STRI,T6,4,16,0,0,2,40,0,0,36
STRI,T6,0,70,0,0,0,20,2,2,2
STRI,T6,2,42,0,0,4,32,8,4,8
STRI,T6,2,20,0,0,2,56,0,0,18
Almirante,T7,28,3,0,0,4,2,0,0,63
Almirante,T7,40,1,0,0,1,5,0,2,51
Almirante,T7,26,6,0,13,4,10,0,0,41
