Site,Time Point,Live Hard Coral,Dead Coral,"Soft Coral, Fire Coral",Zoanthid,Other Invertebrates,Sponge,CCA,Other Algae,"Substrate (Rubble, sand)"
Hospital Point,T7,91,3,0,0,0,0,0,6,0
Hospital Point,T7,17,40,11,0,0,0,1,29,0
Hospital Point,T7,26,35,4,0,0,0,10,24,0
Hospital Point,T7,15,57,0,0,0,2,10,15,0
Hospital Point,T7,10,54,6,0,0,0,8,21,1
Hospital Point,T7,2,55,4,0,0,0,12,27,0
Hospital Point,T7,5,43,0,0,2,0,11,34,4
Hospital Point,T7,17,9,14,0,1,18,14,15,12
Hospital Point,T7,50,3,0,0,0,15,7,20,4
Mainland,T7,1,40,0,23,4,5,21,3,3
Mainland,T7,0,37,0,14,2,8,23,13,1
Mainland,T7,2,26,0,9,6,34,16,7,0
Mainland,T7,13,11,0,2,0,26,16,32,0
Mainland,T7,0,66,0,2,3,28,1,0,0
Mainland,T7,28,15,0,13,2,12,10,19,0
Mainland,T7,0,50,0,0,1,2,34,13,0
Mainland,T7,0,24,0,1,5,3,60,7,0
Mainland,T7,0,31,0,0,6,29,30,4,0
Mainland,T7,0,62,0,3,5,3,23,3,1
Mainland,T7,61,13,0,1,4,19,0,1,0
Pastores,T7,0,0,0,32,2,30,0,2,34
Pastores,T7,0,0,0,10,4,33,0,2,51
Pastores,T7,3,0,0,54,3,32,0,0,8
Pastores,T7,0,0,0,26,8,39,0,1,25
Pastores,T7,3,0,0,18,1,23,0,1,54
Pastores,T7,0,0,0,15,2,33,0,4,45
Pastores,T7,0,1,0,30,3,24,0,6,35
Pastores,T7,1,0,0,8,7,28,0,2,52
Pastores,T7,0,0,0,5,4,15,0,16,60
Pastores,T7,1,0,0,36,8,15,0,21,19
Pastores,T7,2,0,0,13,11,28,0,1,45
Popa,T7,20,3,4,0,0,0,2,71,0
Popa,T7,16,3,23,0,3,0,19,35,1
Popa,T7,7,1,0,0,2,1,10,75,4
Popa,T7,5,0,7,0,4,0,11,69,1
Popa,T7,24,1,0,1,7,10,11,40,6
Popa,T7,3,0,1,0,0,0,0,95,1
Popa,T7,3,0,0,0,0,1,0,96,0
Popa,T7,4,0,0,0,0,0,1,95,0
Popa,T7,4,0,0,0,0,0,0,94,2
Popa,T7,2,0,0,0,0,1,0,96,0
Popa,T7,4,0,2,0,0,0,0,91,3
Punta Juan,T7,20,6,1,3,4,4,21,9,31
Punta Juan,T7,7,5,9,1,6,10,21,17,23
Punta Juan,T7,40,10,8,2,2,11,1,13,13
Punta Juan,T7,12,24,13,1,3,19,13,12,3
Punta Juan,T7,20,1,0,31,3,7,25,5,8
Punta Juan,T7,39,6,0,0,2,4,0,9,40
Punta Juan,T7,3,0,54,2,0,5,0,1,35
Punta Juan,T7,5,4,56,1,0,11,0,4,19
Punta Juan,T7,8,14,52,1,2,11,0,2,10
Punta Juan,T7,9,0,71,0,3,5,0,1,11
Punta Juan,T7,33,0,19,0,4,7,28,9,0
Salt Creek,T7,50,1,1,0,1,1,4,41,1
Salt Creek,T7,24,5,19,0,1,0,8,42,1
Salt Creek,T7,19,2,0,0,0,0,4,75,0
Salt Creek,T7,22,10,20,0,3,0,6,19,20
Salt Creek,T7,22,1,3,0,2,2,7,55,8
Salt Creek,T7,6,0,0,0,0,0,16,76,2
Salt Creek,T7,37,0,14,0,1,0,6,42,0
Salt Creek,T7,4,0,3,0,1,1,3,57,31
Salt Creek,T7,50,3,6,0,1,0,2,38,0
Salt Creek,T7,1,0,0,0,0,0,0,52,47
Salt Creek,T7,17,29,15,0,1,1,16,21,0
STRI,T7,1,2,0,0,3,12,0,5,77
STRI,T7,13,2,0,0,0,13,0,1,71
STRI,T7,6,64,0,0,1,15,6,3,5
STRI,T7,11,1,0,0,0,28,0,2,58
STRI,T7,18,19,0,0,3,42,1,2,11
STRI,T7,5,18,0,0,1,20,0,7,49
STRI,T7,4,18,0,0,1,30,0,5,41
STRI,T7,0,43,0,0,0,9,0,18,30
STRI,T7,0,39,0,0,2,30,0,2,27
STRI,T7,4,7,0,0,1,39,0,3,46
