Site,Time Point,Live Hard Coral,Dead Coral,"Soft Coral, Fire Coral",Zoanthid,Other Invertebrates,Sponge,CCA,Other Algae,"Substrate (Rubble, sand)"
Popa,T0,14,2,1,0,0,5,0,78,0
Punta Juan,T0,34,21,2,1,3,10,2,3,24
Punta Juan,T0,39,18,8,0,0,12,3,3,17
Punta Juan,T0,46,7,1,0,2,20,0,2,22
Punta Juan,T0,22,9,7,0,10,19,3,16,13
Punta Juan,T0,44,14,0,11,2,8,1,9,11
Punta Juan,T0,29,10,0,0,8,8,2,9,34
Punta Juan,T0,4,5,18,0,0,9,0,6,57
Punta Juan,T0,23,3,33,0,0,8,0,1,32
Punta Juan,T0,19,1,39,0,5,21,0,9,6
Punta Juan,T0,11,3,44,0,2,28,1,6,4
Punta Juan,T0,61,9,8,0,1,15,0,5,1
Salt Creek,T0,35,0,3,0,0,2,3,36,17
Salt Creek,T0,24,3,11,0,1,3,2,56,0
Salt Creek,T0,24,0,0,0,0,0,0,76,0
Salt Creek,T0,28,2,1,0,0,1,0,54,13
Salt Creek,T0,7,0,20,0,0,8,0,56,7
Salt Creek,T0,12,0,0,0,0,6,0,77,4
Salt Creek,T0,31,1,14,0,0,6,0,46,0
Salt Creek,T0,18,2,5,0,1,2,1,49,21
Salt Creek,T0,57,4,7,0,0,5,2,20,3
Salt Creek,T0,0,0,0,0,1,3,0,78,18
Salt Creek,T0,28,2,6,0,1,6,2,53,0
STRI,T0,1,0,0,0,0,25,0,18,56
STRI,T0,3,6,0,0,1,17,0,21,52
STRI,T0,3,58,0,0,2,25,5,6,0
STRI,T0,3,3,0,0,2,31,1,6,54
STRI,T0,8,35,0,0,0,51,1,1,3
STRI,T0,8,36,0,0,1,12,3,21,19
STRI,T0,2,44,0,0,1,32,2,5,13
STRI,T0,0,73,0,0,1,16,1,3,4
STRI,T0,0,47,0,0,2,41,4,1,3
STRI,T0,1,49,0,0,1,25,2,2,18
Cayo Roldan,T1,54,0,0,12,0,14,0,0,20
Cayo Roldan,T1,10,4,12,32,2,4,0,0,34
Cayo Roldan,T1,32,0,0,16,4,0,0,0,48
Cayo Roldan,T1,28,4,8,8,6,4,0,0,38
Cayo Roldan,T1,24,4,0,24,4,18,0,0,26
Cayo Roldan,T1,36,0,0,14,6,10,0,2,32
Cayo Roldan,T1,46,2,2,8,0,8,0,0,30
Cayo Roldan,T1,20,4,4,28,8,12,0,0,24
Cayo Roldan,T1,6,0,0,28,2,12,0,0,50
Cayo Roldan,T1,26,2,2,16,4,6,0,0,44
Cayo Roldan,T1,22,0,6,8,0,12,0,0,46
Hospital Point,T1,42,12,10,0,0,4,6,22,2
Hospital Point,T1,62,8,14,0,0,0,2,12,0
Hospital Point,T1,82,6,0,0,0,0,6,2,0
Hospital Point,T1,42,8,4,0,0,0,2,36,8
Hospital Point,T1,46,20,0,0,0,0,0,24,8
Hospital Point,T1,44,16,0,0,0,0,4,24,10
Hospital Point,T1,48,2,4,0,0,0,2,34,10
Hospital Point,T1,14,16,0,0,2,2,10,42,12
Hospital Point,T1,2,22,0,0,4,0,6,54,12
Hospital Point,T1,4,14,10,0,0,12,2,30,24
Hospital Point,T1,42,8,0,0,4,28,2,2,14
Mainland,T1,26,2,0,22,4,14,0,0,28
Mainland,T1,68,2,0,14,0,2,0,0,10
Mainland,T1,8,4,0,36,8,20,0,2,16
Mainland,T1,46,8,0,0,2,20,0,2,12
Mainland,T1,12,12,0,38,6,12,0,0,12
Mainland,T1,30,18,0,24,2,8,0,2,14
Mainland,T1,0,18,0,28,8,4,2,2,32
Mainland,T1,0,36,0,20,6,2,0,4,30
Mainland,T1,2,18,0,12,10,22,0,2,26
Mainland,T1,16,22,0,28,8,2,0,0,20
Mainland,T1,64,6,0,10,2,0,0,0,8
